,Timestamp,Scout name?,Team you're scouting? (number),Team you're scouting? (name),What drive train do they have?,What motors and how many are they using for the drive train?,How much does the robot weigh?,What do they do during autonomous?,Which parts of the goal can the robot score in?,Do they have any set positions they shoot from?,"If they have a shooter, how many balls can it hold at once?","If they have a shooter, how does it work?","Does the robot extend out of it's frame, and can it go back in?",Do they have a climber?,Which bar can they reach?,Where do they climb on the bar,How does it work?,Any information not covered by the form
0,3/24/2022 11:25:20,Eli hamaker ,167,Children of the corn,West coast (Tank Drive),Neo 3 each side,114,2 or 4 ball auto,Top Goal,,2,Flywheel,"Yes, Can go back in",Yes,Traversal (Fourth),Everywhere,"2 sets of arms. Climbs by going mid, high, traversal",Not the nicest team
1,3/24/2022 10:29:19,Eli hamaker,525,Swarthogs,Swerves,"Flacon, neos",105,2-3,"Top Goal, Low Goal",,2,Flywheel adjustable hood,"Yes, Can go back in",Yes,Mid (Second),Everywhere,"Arm, folds out","Friendly, ran low on time for robot"
2,3/24/2022 15:35:12,Eli hamaker,967,Iron lions,West coast (Tank Drive),2 neo per side,110.9,2 ball trying 3,"Top Goal, Low Goal",,2,Kicker and flywheel with velocity control. 7 cargo average.,Can go back in,Yes,"Mid (Second), High (Third)",Everywhere,2 elevatorss,Had lots of issues last regional. They say they’ve been fixed and haven’t lost a match.
3,3/24/2022 15:40:27,Eli hamaker,1764,Liberty robotics,Swerves,Flacons for drive and steering.,121,5 ball. 60%. Always get 3 balls,Top Goal,,2,Flywheel and top roller. Velocity control.,Can go back in,Yes,"Mid (Second), High (Third), Traversal (Fourth)",Everywhere,Consistent and active and passive.,Had issues with intake last regional but recently rebuilt it. Nice and professional and seems reasonable.
4,3/24/2022 12:07:20,Shae,2022,Titan Robotics,Swerves,Falcons on each,120,Garunteed 2 ball auto and maybe 5 ball,"Top Goal, Low Goal",,2,No turret with a limelight and adjustable hood and motor speed,Yes,Yes,Traversal (Fourth),Everywhere,Sort of like two hooks with a windmill (unlocking and relockong,They can for sure reach high bar but the transversal is iffy for sure. They bought their swerves (mk 3) 
5,3/24/2022 12:37:20,Shae,2526,Crimson robotics,West coast (Tank Drive),4 neos on drive train (2 on each side),120,Line up at fender and then shoot one ball and working on a 2 ball right now,"Top Goal, Low Goal",,2,Set on two positions before the match (decide on tarmac or fender). They have a limelight to line up,"Yes, Can go back in",Yes,Mid (Second),Everywhere,Cylandars to go up and start climbing around 20 seconds cause it takes a while to line up but only 5 seconds to climb,Have a low gear and high gear for drive train which is a six wheel tank with a drop wheel
6,3/24/2022 11:27:40,Hayden,2549,Millerbots,West coast (Tank Drive),4 cims,122.9,Taxi and shoot 1 cargo in low goal,"Top Goal, Low Goal",,2,2 falcons for shooter the shooter is the intake also,"Yes, Can go back in",Yes,Mid (Second),Everywhere,Hook swings out and winches up,Seems like they only have a intake that runs everything we will see how well they short into the high goal
7,3/24/2022 11:33:41,Hayden,2667,Knights of the valley,Mecanum,4 neos one on each,120,Dump cargo in low goal and back up,Low Goal,,2,Ball goes up conveyor and spits out low,"Yes, Can go back in",Yes,Mid (Second),Everywhere,Andy mark climber kit,Simple machine has a potential high goal but not test much for comp
8,3/24/2022 13:27:11,Britton,2957,Knights,West coast (Tank Drive),Neo’s (4),121,1 ball,Top Goal,,2,"Static shooter, all manual","Yes, Can go back in",Yes,High (Third),Everywhere,Pneumatic cylinders with stationary hooks,"Team members didn’t seem to know much details, but friendly nonetheless"
9,3/24/2022 12:28:00,Britton,3026,Orange crush,Mecanum,Neo’s,100,1 ball,Top Goal,,2,Rotation adjusted by limelight and speed,"Yes, Can go back in",Yes,Traversal (Fourth),Everywhere,Little arms and big arms ,"Drive train and it’s maneuverability is good (according to them), team looked like they knew what they were doing"
10,3/24/2022 10:37:38,Eli Hamaker,3102,Techno tigers,West coast (Tank Drive),4 flacons total. 2 each side,124.9,"2 balls, preload and back up to pick up a ball.","Top Goal, Low Goal",,2,Just a flywheel ,"Yes, Can go back in",Yes,Mid (Second),Everywhere,Elevator,"Very friendly, will share scouting info if needed, only shoots from one position."
11,3/24/2022 10:49:04,Eli hamaker,3206,Royal t-wrecks,West coast (Tank Drive),2 neos preside on a drop center drive. 2 speed,104.7,"2 balls, preload and drive backwards","Top Goal, Low Goal",,2,"Neo motor, hood, limelight, can shoot from ","Yes, Can go back in",Yes,Mid (Second),Everywhere,Telescoping,"Friendly, robot looked pretty low to ground except climber, showed me a video of it shooting from 10~ ft. Missed."
